UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
23,BJGORJJD,M,298.9,309.3,1581.0,30.7,65.0,0.0,0.0,0.0,0.0,0.0,0.0
24,BQHTAHUP,L,299.0,309.4,,25.7,68.0,0.0,0.0,0.0,0.0,0.0,0.0
25,WX8CE3B8,M,299.0,309.4,,37.3,70.0,,0.0,0.0,0.0,,0.0
26,RRCROMQQ,L,,309.5,1861.0,23.3,73.0,0.0,0.0,,0.0,0.0,
27,0KXKNHFG,L,299.1,309.5,1512.0,39.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
28,T8CRV8S7,H,299.1,309.4,1811.0,24.6,77.0,0.0,0.0,0.0,0.0,0.0,0.0
29,BQHTAHUP,L,299.1,309.4,1439.0,44.2,82.0,0.0,0.0,0.0,0.0,0.0,
30,SXOJLV1H,L,,309.4,1693.0,30.1,,0.0,0.0,0.0,0.0,0.0,0.0
31,FPIVWX8Z,M,299.1,309.5,1339.0,48.2,,0.0,0.0,,,0.0,
32,WX8CE3B8,L,299.0,309.4,1798.0,25.5,89.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0KXKNHFG,L,299.0,309.4,1419.0,48.3,91.0,0.0,0.0,0.0,0.0,0.0,0.0
34,3HURBGV7,L,298.9,309.3,1665.0,32.5,93.0,0.0,0.0,0.0,0.0,0.0,0.0
35,JT4UYCMS,M,,,1559.0,34.7,95.0,0.0,0.0,0.0,0.0,0.0,0.0
36,BJGORJJD,M,,309.2,1452.0,48.6,,0.0,0.0,0.0,0.0,0.0,0.0
37,G5AIQWJK,M,298.9,309.2,1581.0,36.7,101.0,0.0,0.0,,0.0,0.0,
38,JT4UYCMS,L,298.8,309.1,1439.0,39.2,104.0,0.0,0.0,,0.0,0.0,0.0
39,3HURBGV7,H,298.9,309.2,1379.0,50.7,106.0,0.0,0.0,,0.0,,0.0
40,3HURBGV7,L,298.8,309.1,1350.0,52.5,111.0,0.0,0.0,0.0,0.0,0.0,0.0
41,T8CRV8S7,L,,309.1,1362.0,45.4,113.0,0.0,0.0,0.0,0.0,0.0,0.0
42,G5AIQWJK,L,298.8,,1368.0,50.8,115.0,0.0,0.0,0.0,0.0,0.0,0.0
43,FPIVWX8Z,M,298.8,309.1,1368.0,49.1,117.0,0.0,0.0,0.0,0.0,0.0,
44,WX8CE3B8,H,298.8,309.2,1372.0,,120.0,0.0,0.0,0.0,0.0,0.0,0.0
45,BJGORJJD,M,298.8,309.1,1472.0,47.5,125.0,,,0.0,0.0,0.0,0.0
46,WX8CE3B8,L,298.8,,1489.0,,,0.0,0.0,,0.0,0.0,0.0
47,I2VROP6D,M,,309,1843.0,25.8,130.0,0.0,0.0,0.0,0.0,0.0,0.0
48,JKSA1NQT,L,298.8,309.1,1418.0,46.3,133.0,,0.0,0.0,0.0,0.0,0.0
49,3HURBGV7,H,298.8,309.2,1425.0,53.9,,0.0,0.0,0.0,0.0,0.0,
50,XWW2WAV6,M,298.9,,1412.0,44.1,140.0,0.0,0.0,0.0,0.0,0.0,0.0
51,XWW2WAV6,L,298.9,309.1,2861.0,4.6,143.0,1.0,0.0,,1.0,0.0,0.0
52,ZLNM5UXX,L,298.9,309.1,1383.0,54.9,145.0,0.0,0.0,0.0,0.0,0.0,0.0
53,8B6QZ6CV,H,298.8,309,1497.0,43.8,147.0,0.0,0.0,0.0,0.0,0.0,0.0
54,JKSA1NQT,L,298.7,309,1565.0,35.1,152.0,0.0,,0.0,0.0,0.0,0.0
55,ZLNM5UXX,L,298.7,309,1691.0,30.1,154.0,0.0,0.0,0.0,0.0,0.0,0.0
56,AEKNJJ1R,L,298.8,309.1,1512.0,40.7,156.0,0.0,0.0,0.0,0.0,0.0,0.0
57,XWW2WAV6,L,298.8,309.1,1477.0,42.4,158.0,0.0,0.0,0.0,0.0,0.0,0.0
58,JT4UYCMS,L,298.8,309.1,1513.0,40.3,160.0,0.0,0.0,0.0,0.0,0.0,0.0
59,ZLNM5UXX,M,298.8,309,,29.5,162.0,0.0,0.0,0.0,0.0,0.0,
60,BQHTAHUP,L,298.8,309.1,1378.0,54.4,165.0,0.0,,0.0,0.0,0.0,0.0
61,JKSA1NQT,L,,309.1,1393.0,52.6,167.0,0.0,0.0,,,0.0,0.0
62,YSLIFO7U,M,298.8,309,1592.0,38.2,169.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0KXKNHFG,L,298.8,,1829.0,22.9,172.0,0.0,0.0,0.0,0.0,0.0,0.0
64,T8CRV8S7,M,298.9,309,1812.0,25.9,174.0,0.0,0.0,0.0,0.0,0.0,0.0
65,T8CRV8S7,L,299.0,309.1,1523.0,38.6,177.0,0.0,0.0,0.0,0.0,0.0,0.0
66,WX8CE3B8,L,299.0,309.1,1394.0,45.1,179.0,0.0,0.0,0.0,0.0,0.0,
67,BQHTAHUP,M,298.9,308.9,1679.0,28.7,181.0,0.0,0.0,0.0,,0.0,
68,BJGORJJD,H,298.8,,1466.0,44.1,184.0,0.0,0.0,0.0,0.0,0.0,0.0
69,AEKNJJ1R,L,,,1527.0,32.4,,,0.0,0.0,0.0,0.0,
70,0KXKNHFG,L,298.9,309,1410.0,65.7,191.0,1.0,0.0,0.0,1.0,,
71,XWW2WAV6,M,298.9,309,1924.0,22.6,193.0,0.0,0.0,0.0,0.0,0.0,0.0
72,XWW2WAV6,L,298.9,309.1,1452.0,45.5,196.0,0.0,0.0,0.0,,0.0,0.0
73,T8CRV8S7,L,,309.1,1369.0,,198.0,0.0,0.0,0.0,0.0,0.0,0.0
74,WX8CE3B8,L,299.0,309.1,1592.0,35.0,,0.0,0.0,0.0,0.0,0.0,0.0
75,AEKNJJ1R,L,298.9,309,,32.3,202.0,0.0,0.0,0.0,0.0,0.0,
76,LSRXCBBX,L,,308.9,1379.0,46.7,,0.0,0.0,0.0,0.0,0.0,0.0
77,XWW2WAV6,L,,308.9,1461.0,47.9,206.0,0.0,0.0,0.0,0.0,0.0,0.0
78,JKSA1NQT,L,298.8,,1455.0,41.3,208.0,1.0,1.0,0.0,0.0,0.0,0.0
79,PSRXCDFQ,L,298.8,308.9,1398.0,51.5,,0.0,0.0,0.0,0.0,0.0,0.0
80,PSRXCDFQ,L,298.8,308.9,1402.0,37.9,2.0,0.0,0.0,0.0,0.0,0.0,
81,AEKNJJ1R,H,298.8,308.8,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82,G5AIQWJK,L,,308.9,1450.0,47.5,9.0,0.0,0.0,0.0,0.0,0.0,
83,WX8CE3B8,L,,308.9,,40.8,11.0,0.0,0.0,0.0,0.0,0.0,0.0
84,ZLNM5UXX,L,299.0,309,1469.0,,13.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0KXKNHFG,L,298.9,308.9,1422.0,47.6,15.0,0.0,0.0,,0.0,,0.0
86,SXOJLV1H,M,299.0,309,1804.0,26.8,17.0,,0.0,0.0,0.0,0.0,0.0
87,RRCROMQQ,H,,309,1436.0,43.9,20.0,0.0,0.0,0.0,0.0,0.0,0.0
88,T8CRV8S7,L,299.0,309,1544.0,31.8,25.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0KXKNHFG,M,299.0,309,1419.0,45.2,27.0,0.0,0.0,0.0,0.0,0.0,0.0
90,SXOJLV1H,M,,308.9,1487.0,39.5,30.0,,0.0,0.0,0.0,0.0,0.0
91,AEKNJJ1R,L,298.9,308.9,1753.0,25.8,33.0,0.0,,0.0,0.0,0.0,0.0
92,YSLIFO7U,L,298.9,308.9,1830.0,24.9,35.0,0.0,0.0,0.0,0.0,0.0,0.0
93,AEKNJJ1R,M,298.9,308.9,1727.0,27.1,37.0,0.0,0.0,0.0,0.0,0.0,0.0
94,G5AIQWJK,L,299.1,,1450.0,43.0,40.0,0.0,0.0,0.0,0.0,0.0,
95,ZLNM5UXX,L,299.0,308.9,1622.0,31.9,42.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0KXKNHFG,M,299.0,309,1351.0,52.2,44.0,0.0,0.0,0.0,0.0,0.0,
97,WX8CE3B8,M,299.0,309,1575.0,35.3,47.0,0.0,0.0,0.0,0.0,0.0,0.0
98,LSRXCBBX,M,,308.9,1750.0,29.9,50.0,0.0,0.0,0.0,0.0,0.0,
99,JT4UYCMS,L,,308.8,1529.0,32.7,53.0,0.0,0.0,0.0,,0.0,0.0
100,8B6QZ6CV,L,,308.8,1523.0,44.4,55.0,0.0,0.0,0.0,0.0,0.0,0.0
101,8B6QZ6CV,L,298.8,308.9,,25.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
102,BQHTAHUP,L,298.8,308.8,1991.0,,59.0,0.0,0.0,0.0,0.0,0.0,0.0
103,YSLIFO7U,L,298.8,,1555.0,40.6,61.0,0.0,0.0,0.0,0.0,0.0,0.0
104,BJGORJJD,M,,308.8,1441.0,40.5,63.0,0.0,,0.0,0.0,0.0,0.0
105,SXOJLV1H,L,298.8,308.7,1450.0,43.4,,0.0,0.0,0.0,0.0,0.0,0.0
106,AEKNJJ1R,L,298.8,308.7,,31.1,68.0,0.0,0.0,0.0,0.0,0.0,0.0
107,PSRXCDFQ,L,,308.7,1445.0,48.5,70.0,,0.0,0.0,0.0,0.0,0.0
108,ZLNM5UXX,M,,,1497.0,46.8,72.0,0.0,0.0,0.0,0.0,0.0,0.0
109,FPIVWX8Z,H,298.9,,,32.7,75.0,0.0,0.0,0.0,0.0,,0.0
110,AEKNJJ1R,L,298.9,308.7,1572.0,34.1,80.0,0.0,0.0,0.0,0.0,0.0,0.0
111,BQHTAHUP,L,,308.6,,22.5,82.0,0.0,0.0,0.0,0.0,0.0,0.0
112,G5AIQWJK,H,,308.6,1499.0,43.5,84.0,0.0,0.0,0.0,,,0.0
113,0KXKNHFG,M,298.8,308.7,1498.0,39.5,89.0,0.0,0.0,0.0,0.0,0.0,
114,YSLIFO7U,M,,308.6,1486.0,41.9,92.0,0.0,0.0,0.0,0.0,,0.0
115,XWW2WAV6,L,298.8,308.6,1680.0,29.4,95.0,0.0,0.0,0.0,0.0,0.0,0.0
116,FPIVWX8Z,L,298.8,308.6,1431.0,45.7,97.0,0.0,0.0,,,0.0,0.0
117,I2VROP6D,L,298.9,308.7,1564.0,34.1,,0.0,0.0,0.0,0.0,0.0,0.0
118,ZLNM5UXX,L,298.8,308.6,1599.0,33.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0
119,FPIVWX8Z,M,,308.6,1707.0,28.1,103.0,0.0,0.0,0.0,0.0,0.0,0.0
120,JT4UYCMS,L,298.7,308.5,1467.0,40.7,106.0,0.0,0.0,0.0,0.0,0.0,
121,RRCROMQQ,L,,308.7,1433.0,,108.0,0.0,0.0,0.0,0.0,0.0,0.0
122,I2VROP6D,L,298.9,308.7,1558.0,41.2,110.0,0.0,0.0,0.0,0.0,0.0,0.0
123,JT4UYCMS,L,299.0,308.8,1310.0,50.7,112.0,0.0,0.0,0.0,0.0,,0.0
124,RRCROMQQ,L,298.9,308.7,1546.0,43.4,114.0,0.0,0.0,0.0,0.0,0.0,
125,YSLIFO7U,L,298.9,308.7,1727.0,29.4,116.0,0.0,0.0,0.0,0.0,0.0,0.0
126,3HURBGV7,L,298.9,308.6,1560.0,32.2,118.0,0.0,0.0,0.0,0.0,0.0,0.0
127,T8CRV8S7,L,299.0,308.6,1329.0,60.5,,0.0,0.0,0.0,,0.0,0.0
128,SXOJLV1H,L,298.9,308.6,1413.0,46.5,122.0,0.0,,0.0,0.0,0.0,0.0
129,I2VROP6D,L,299.0,308.6,1587.0,38.6,124.0,0.0,0.0,0.0,0.0,0.0,0.0
130,LSRXCBBX,L,,308.5,1559.0,34.3,126.0,0.0,,0.0,0.0,0.0,0.0
131,WX8CE3B8,L,298.8,308.4,1473.0,41.1,128.0,0.0,0.0,0.0,0.0,0.0,0.0
132,JT4UYCMS,L,298.8,308.4,1737.0,27.7,130.0,0.0,0.0,0.0,0.0,0.0,0.0
133,JT4UYCMS,M,,,,43.2,132.0,0.0,0.0,0.0,0.0,0.0,0.0
134,PSRXCDFQ,M,298.7,308.4,1430.0,49.6,,0.0,0.0,0.0,0.0,0.0,0.0
135,LSRXCBBX,L,298.8,308.4,1369.0,53.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0
136,JT4UYCMS,M,298.8,308.5,1711.0,28.5,140.0,0.0,0.0,0.0,0.0,0.0,0.0
137,BQHTAHUP,H,298.7,308.5,1420.0,45.7,143.0,0.0,0.0,0.0,0.0,0.0,0.0
138,T8CRV8S7,L,,308.6,1297.0,55.3,148.0,0.0,0.0,0.0,0.0,0.0,0.0
139,T8CRV8S7,H,298.8,308.6,1449.0,49.4,150.0,0.0,0.0,,0.0,0.0,0.0
140,FPIVWX8Z,L,298.8,308.6,1268.0,55.8,155.0,0.0,0.0,,,0.0,0.0
141,FPIVWX8Z,L,298.8,308.6,1511.0,36.1,,0.0,0.0,0.0,0.0,,0.0
142,BJGORJJD,L,298.7,308.5,1544.0,35.2,159.0,0.0,,0.0,0.0,0.0,0.0
143,BQHTAHUP,M,298.6,308.4,1778.0,28.2,161.0,0.0,0.0,0.0,0.0,0.0,0.0
144,JKSA1NQT,H,298.6,308.4,1407.0,50.5,,,0.0,0.0,0.0,0.0,0.0
145,LSRXCBBX,M,298.6,308.4,1391.0,42.4,169.0,0.0,0.0,0.0,0.0,0.0,
146,BJGORJJD,L,298.5,308.4,1513.0,33.6,,0.0,0.0,0.0,0.0,0.0,0.0
147,AEKNJJ1R,H,298.5,308.4,1612.0,36.1,174.0,,0.0,0.0,0.0,0.0,0.0
148,8B6QZ6CV,L,,308.4,1515.0,40.1,179.0,0.0,0.0,0.0,0.0,0.0,0.0
149,RRCROMQQ,M,,308.3,1379.0,48.0,,0.0,,0.0,0.0,0.0,0.0
150,0KXKNHFG,L,,308.3,1473.0,39.9,184.0,0.0,0.0,0.0,0.0,0.0,0.0
151,JT4UYCMS,L,298.4,308.3,1422.0,42.7,186.0,0.0,0.0,,,0.0,0.0
152,XWW2WAV6,M,298.4,308.2,1463.0,37.6,188.0,0.0,0.0,0.0,,0.0,0.0
153,SXOJLV1H,M,298.4,308.2,1584.0,41.0,191.0,0.0,0.0,0.0,,0.0,0.0
154,YSLIFO7U,L,298.4,308.2,1850.0,,194.0,,0.0,0.0,0.0,0.0,0.0
155,AEKNJJ1R,L,298.4,308.2,1528.0,36.2,196.0,,0.0,,0.0,0.0,0.0
156,3HURBGV7,H,298.4,308.2,1987.0,19.8,198.0,0.0,0.0,0.0,0.0,0.0,0.0
157,I2VROP6D,M,298.4,308.1,1495.0,46.0,203.0,0.0,,0.0,0.0,0.0,0.0
158,BQHTAHUP,H,298.4,308.2,1478.0,43.5,206.0,0.0,,,0.0,0.0,0.0
159,WX8CE3B8,M,298.4,308.2,1499.0,40.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0
160,BJGORJJD,L,298.4,308.2,1471.0,,214.0,0.0,0.0,0.0,0.0,0.0,0.0
161,RRCROMQQ,L,298.4,308.2,1282.0,60.7,216.0,1.0,0.0,0.0,0.0,1.0,
162,T8CRV8S7,L,298.3,308.1,1412.0,52.3,218.0,1.0,0.0,0.0,0.0,1.0,0.0
163,BJGORJJD,L,298.3,308.1,1586.0,35.5,0.0,0.0,0.0,0.0,0.0,,0.0
164,I2VROP6D,M,298.4,308.2,1468.0,43.8,2.0,0.0,,0.0,0.0,0.0,0.0
165,BJGORJJD,M,,308.3,1440.0,43.6,5.0,0.0,0.0,,0.0,0.0,0.0
166,LSRXCBBX,L,298.5,308.4,1733.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
167,BQHTAHUP,H,298.4,308.2,1612.0,32.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0
168,8B6QZ6CV,H,298.4,308.3,1458.0,42.9,15.0,0.0,0.0,,0.0,0.0,0.0
169,YSLIFO7U,L,,308.3,1433.0,62.3,20.0,1.0,0.0,0.0,1.0,0.0,0.0
170,BQHTAHUP,L,298.4,,,59.1,22.0,0.0,0.0,0.0,0.0,0.0,0.0
171,JKSA1NQT,M,298.4,308.2,1610.0,35.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
172,I2VROP6D,L,298.2,308.1,1462.0,50.8,27.0,0.0,0.0,0.0,0.0,0.0,0.0
173,0KXKNHFG,M,,308,1924.0,,29.0,0.0,0.0,0.0,0.0,0.0,0.0
174,LSRXCBBX,M,,308,,33.7,32.0,,,0.0,0.0,0.0,0.0
175,JKSA1NQT,L,298.2,308.1,1306.0,58.3,35.0,0.0,0.0,0.0,0.0,,
176,G5AIQWJK,L,298.2,308.1,1382.0,43.5,37.0,0.0,0.0,0.0,0.0,0.0,0.0
177,8B6QZ6CV,L,298.2,308.1,1618.0,34.7,39.0,0.0,0.0,0.0,0.0,0.0,0.0
178,8B6QZ6CV,L,,308.2,1988.0,21.4,41.0,0.0,0.0,0.0,0.0,0.0,0.0
179,0KXKNHFG,L,298.2,308.2,1436.0,50.2,43.0,0.0,0.0,,,0.0,0.0
180,JT4UYCMS,L,298.2,308.3,1304.0,49.8,45.0,0.0,0.0,0.0,0.0,0.0,0.0
181,3HURBGV7,L,298.2,308.3,,49.9,,0.0,0.0,0.0,0.0,0.0,0.0
182,SXOJLV1H,H,298.2,308.3,1824.0,24.2,49.0,0.0,0.0,0.0,0.0,0.0,0.0
183,JKSA1NQT,M,,308.2,1342.0,48.1,,0.0,0.0,0.0,0.0,0.0,0.0
184,T8CRV8S7,L,298.1,308.2,1485.0,40.7,,0.0,0.0,0.0,0.0,0.0,0.0
185,RRCROMQQ,L,298.2,,1667.0,30.6,59.0,,0.0,0.0,0.0,,0.0
186,FPIVWX8Z,L,298.2,308.2,1446.0,38.2,61.0,0.0,0.0,0.0,,0.0,0.0
187,PSRXCDFQ,L,298.1,308.3,1301.0,56.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
188,WX8CE3B8,L,298.2,308.4,1379.0,43.1,65.0,0.0,,0.0,,0.0,0.0
189,ZLNM5UXX,L,,308.5,1606.0,33.6,67.0,0.0,0.0,0.0,0.0,0.0,0.0
190,XWW2WAV6,M,298.3,308.4,1539.0,,69.0,0.0,0.0,0.0,0.0,0.0,0.0
191,ZLNM5UXX,L,298.2,308.4,1477.0,49.9,,0.0,0.0,0.0,0.0,0.0,0.0
192,8B6QZ6CV,L,298.2,308.4,1666.0,34.6,74.0,0.0,,0.0,0.0,0.0,0.0
193,BJGORJJD,H,298.2,308.4,1398.0,,76.0,,0.0,,0.0,0.0,0.0
194,3HURBGV7,H,,308.4,1678.0,34.6,81.0,,0.0,0.0,0.0,0.0,0.0
195,T8CRV8S7,M,298.2,308.5,2678.0,10.7,86.0,1.0,0.0,0.0,1.0,0.0,0.0
196,WX8CE3B8,L,298.3,,1453.0,42.9,89.0,0.0,0.0,0.0,,0.0,0.0
197,8B6QZ6CV,H,298.3,308.6,,49.5,91.0,0.0,,0.0,0.0,0.0,0.0
198,BJGORJJD,M,298.4,,1527.0,40.9,96.0,0.0,0.0,0.0,0.0,,0.0
199,T8CRV8S7,L,298.4,,1588.0,35.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
200,G5AIQWJK,L,298.4,308.6,,47.1,101.0,,0.0,0.0,0.0,0.0,0.0
201,ZLNM5UXX,L,298.4,308.6,1609.0,35.0,103.0,0.0,0.0,0.0,0.0,,0.0
202,0KXKNHFG,L,298.3,308.5,1575.0,41.2,105.0,0.0,0.0,0.0,0.0,0.0,0.0
203,3HURBGV7,M,298.4,308.5,1636.0,35.7,,0.0,,0.0,0.0,0.0,0.0
204,FPIVWX8Z,L,298.4,,1490.0,37.9,110.0,0.0,0.0,0.0,0.0,0.0,0.0
205,RRCROMQQ,L,298.4,308.5,1741.0,32.8,112.0,0.0,,0.0,0.0,0.0,0.0
206,BJGORJJD,M,,308.6,1344.0,53.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0
207,G5AIQWJK,L,298.5,308.7,1609.0,35.3,,0.0,,0.0,0.0,0.0,0.0
208,ZLNM5UXX,M,298.4,308.7,1421.0,60.7,119.0,1.0,0.0,0.0,,0.0,0.0
209,PSRXCDFQ,L,298.4,308.6,1591.0,36.7,122.0,0.0,0.0,0.0,0.0,0.0,0.0
210,G5AIQWJK,L,298.4,308.6,1477.0,44.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0
211,JKSA1NQT,L,298.4,308.7,1523.0,36.1,126.0,0.0,0.0,0.0,,0.0,0.0
212,YSLIFO7U,L,298.5,308.7,1575.0,33.9,128.0,0.0,0.0,0.0,0.0,0.0,0.0
213,YSLIFO7U,H,298.4,308.7,1344.0,52.9,130.0,0.0,0.0,0.0,0.0,0.0,0.0
214,8B6QZ6CV,L,298.4,308.7,1386.0,44.9,135.0,0.0,0.0,0.0,0.0,0.0,0.0
215,T8CRV8S7,M,298.3,308.6,,37.1,137.0,0.0,0.0,0.0,0.0,0.0,0.0
216,SXOJLV1H,L,,,1548.0,40.3,140.0,0.0,0.0,0.0,0.0,0.0,0.0
217,8B6QZ6CV,L,298.3,308.6,,38.3,142.0,0.0,0.0,0.0,,0.0,0.0
218,BQHTAHUP,L,298.3,308.5,1664.0,31.6,144.0,0.0,0.0,0.0,0.0,0.0,0.0
219,YSLIFO7U,L,,308.6,,38.1,146.0,0.0,,0.0,0.0,0.0,0.0
220,0KXKNHFG,M,298.3,308.5,1434.0,46.2,148.0,0.0,,0.0,0.0,0.0,0.0
221,BJGORJJD,L,298.3,308.5,1416.0,52.7,151.0,0.0,0.0,0.0,0.0,0.0,0.0
222,FPIVWX8Z,H,,308.5,1827.0,24.3,153.0,0.0,0.0,0.0,0.0,0.0,0.0
223,YSLIFO7U,L,298.4,308.6,1304.0,45.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0
224,PSRXCDFQ,L,298.4,308.6,1569.0,34.4,160.0,,0.0,0.0,0.0,,0.0
225,SXOJLV1H,L,298.3,308.6,1584.0,29.3,162.0,0.0,0.0,0.0,0.0,0.0,0.0
226,T8CRV8S7,L,298.3,308.5,1362.0,53.8,164.0,0.0,0.0,0.0,0.0,0.0,0.0
227,LSRXCBBX,L,298.3,308.4,1329.0,49.2,166.0,0.0,,0.0,0.0,0.0,0.0
228,LSRXCBBX,L,298.3,,1539.0,36.1,168.0,,0.0,0.0,0.0,0.0,0.0
229,FPIVWX8Z,M,,308.5,1629.0,37.1,170.0,0.0,0.0,0.0,0.0,,0.0
230,FPIVWX8Z,L,,308.5,,32.2,173.0,0.0,0.0,0.0,0.0,0.0,0.0
231,SXOJLV1H,L,298.3,308.6,,,175.0,0.0,0.0,0.0,0.0,0.0,0.0
232,JT4UYCMS,L,298.3,308.4,1408.0,43.1,177.0,0.0,0.0,0.0,0.0,0.0,
233,SXOJLV1H,L,298.2,308.4,1424.0,47.6,179.0,0.0,0.0,0.0,0.0,0.0,0.0
234,I2VROP6D,L,298.2,308.4,,34.9,181.0,0.0,0.0,0.0,,0.0,0.0
235,T8CRV8S7,L,298.2,308.4,1478.0,42.9,183.0,0.0,0.0,0.0,0.0,0.0,0.0
236,G5AIQWJK,M,298.1,308.3,1680.0,33.7,185.0,,0.0,0.0,0.0,0.0,0.0
237,FPIVWX8Z,L,,308.3,1495.0,38.7,188.0,0.0,0.0,0.0,0.0,0.0,0.0
238,FPIVWX8Z,M,,308.1,1552.0,36.6,190.0,0.0,0.0,0.0,0.0,0.0,
239,ZLNM5UXX,L,297.9,,1393.0,50.3,193.0,0.0,0.0,0.0,0.0,,0.0
240,PSRXCDFQ,L,298.0,308.2,1611.0,30.6,195.0,0.0,0.0,,0.0,0.0,0.0
241,JKSA1NQT,M,298.0,308.1,1339.0,51.6,197.0,,0.0,0.0,0.0,0.0,0.0
242,8B6QZ6CV,L,298.0,308.1,1777.0,24.3,200.0,0.0,0.0,0.0,,0.0,0.0
243,AEKNJJ1R,L,298.0,,,58.8,202.0,1.0,0.0,0.0,0.0,1.0,0.0
244,WX8CE3B8,L,,,1442.0,44.1,204.0,0.0,0.0,0.0,0.0,0.0,
245,3HURBGV7,M,298.0,308.2,1395.0,49.1,206.0,0.0,,0.0,,0.0,0.0
246,BQHTAHUP,M,,308.1,1627.0,,209.0,0.0,0.0,0.0,0.0,0.0,0.0
247,PSRXCDFQ,L,297.9,308.1,1585.0,33.5,212.0,0.0,0.0,0.0,0.0,0.0,0.0
248,LSRXCBBX,L,298.0,308.2,1469.0,45.5,214.0,0.0,0.0,0.0,0.0,,
249,LSRXCBBX,L,,308.3,,56.8,216.0,1.0,0.0,0.0,0.0,,0.0
250,WX8CE3B8,L,,308.3,1405.0,56.2,218.0,1.0,0.0,,0.0,1.0,0.0
251,BJGORJJD,L,298.0,308.3,1662.0,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,RRCROMQQ,M,298.0,308.2,1466.0,42.6,2.0,0.0,,0.0,0.0,0.0,0.0
253,PSRXCDFQ,L,298.0,308.2,1620.0,35.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0
254,JT4UYCMS,L,,308.2,1357.0,48.2,,0.0,0.0,0.0,0.0,0.0,0.0
